,name,label
3204,minder kumar,indian
5429,aamrin jahan,indian
4055,katie,non_indian
6438,eleonora aanei,non_indian
6110,kosylaya,indian
3947,claus,non_indian
13660,rabhida,indian
10331,shalig ram,indian
6473,inderjit,indian
3573,lakshman sah,indian
1608,sig.ra donatella garrone ,non_indian
8845,tiffany long,non_indian
5610,mantosh,indian
14592,smt mukesh,indian
7970,smt sujata,indian
9091,troy bailey,non_indian
9250,timothy frazier,non_indian
4621,vipin   virpal,indian
473,ishika,indian
1177,carlos,non_indian
5809,egil-kjetil hansen,non_indian
1693,afarin,indian
11714,roy-jens lund,non_indian
1345,gunnar,non_indian
1834,luka,non_indian
12226,lal mohammed,indian
13,stjepan,non_indian
6794,diana serrano,non_indian
8462,rachel williams,non_indian
8141,hiten dev,indian
3817,costin,non_indian
3454,sarif mohammed,indian
12535,ethan healy,non_indian
2914,lucia,non_indian
12404,steven tapp,non_indian
3564,smt. sonu kumari,indian
1607,kundan raj,indian
259,mohammad ali,indian
5974,steluța voinea,non_indian
6505,ottavio tartini,non_indian
4772,ravi ram,indian
8932,dott. mirco micca,non_indian
6578,laura bates,non_indian
8068,viorica manole,non_indian
3789,mary,non_indian
4457,gulshan jha,indian
13747,frau helga eigenwillig,non_indian
857,christine,non_indian
7945,timothy fowler,non_indian
10231,kläre möchlichen mba.,non_indian
11574,gina newman,non_indian
617,david,non_indian
6719,binder singh,indian
4893,angelina,non_indian
6791,hema mehta,indian
2773,vicky khan,indian
5283,valdemar møller,non_indian
11806,lavinia stancu,non_indian
8349,dr. joe kelly,non_indian
8750,florența niță,non_indian
13881,kanku bai,indian
15336,sarswati devi,indian
8156,grace peters,non_indian
1177,shabina,indian
5427,shri  aladeen,indian
1393,smt sanjana,indian
6137,ionel oprea,non_indian
4909,rajender prasad,indian
4843,jay,non_indian
7664,jose williams,non_indian
12368,brittany erickson,non_indian
11495,salman ahmad,indian
11724,giacobbe cristoforetti-panzera,non_indian
7183,isa notarbartolo,non_indian
2360,ruby  ,indian
618,brendan,non_indian
10564,sally wood,non_indian
14729,maigo,indian
12241,mohit nautiyal,indian
8843,pawan preet kaur,indian
7964,michael stokes,non_indian
2787,william,non_indian
750,michael,non_indian
5690,aasif ali,indian
9676,cindy houston,non_indian
4062,snjana,indian
5970,david dunn,non_indian
13629,mathura singh,indian
6732,smt. sheetal,indian
5893,sarah turner,non_indian
